screen,points,3b-filter,3d-vol,3e-overloop
B24H0104/001,0,0,0,0
B24H0104/002,0,0,0,0
B24H0156/001,10824,0,0,0
B24H0156/002,0,0,0,0
B24H0156/003,0,0,0,0
B24H0156/004,0,0,0,0
B24H0327/001,0,0,0,0
B24H0327/002,0,0,0,0
B24H0668/001,10506,0,0,0
B24H0668/002,0,0,0,0
B24H0668/003,5646,0,0,0
B24H0668/004,0,0,0,0
B24H0668/005,0,0,0,0
B24H0668/006,0,0,0,0
B24H0783/001,10506,0,0,0
B30D0068/001,13038,0,0,0
B30D0273/001,13056,0,0,0
B30D0274/001,13037,0,0,0
B30D0275/001,13036,0,0,0
B30D0277/001,0,0,0,0
B30D0289/001,0,0,0,0
B30E0119/001,11250,0,0,0
B30E0119/002,0,0,0,0
B30E0120/001,10561,0,0,0
B30E0120/002,0,0,0,0
B30E0120/003,1049,0,0,0
B30E0120/004,0,0,0,0
B30E0319/001,13033,0,0,0
B30E0333/001,5648,0,0,0
B30F0387/001,13031,0,0,0
B30F0387/002,0,0,0,0
B30F0387/003,0,0,0,0
B30F0387/004,0,0,0,0
B30F0388/001,676,0,0,0
B30F0388/002,12565,0,0,0
B30F0388/003,0,0,0,0
B30F0388/004,0,0,0,0
B30F0422/001,13032,0,0,0
B30F0422/002,0,0,0,0
B30F0422/003,0,0,0,0
B30F0422/004,0,0,0,0
B30F0422/005,0,0,0,0
B30F0469/001,10611,0,0,0
B30F0469/002,12444,0,0,0
B30F0469/003,5937,0,0,0
B30F0472/001,0,0,0,0
B30F0472/002,0,0,0,0
B30F3810/001,2439,0,0,0
B30F3810/002,33013,0,0,0
B30F3810/003,32401,0,0,0
B30G0095/001,30614,0,0,0
B30G0119/001,33844,0,0,0
B30G0494/001,23997,0,0,0
B30G0494/002,23997,0,0,0
B30G0494/003,2551,0,0,0
B30G0838/001,29301,18689,1,0
B30G0838/002,19603,0,0,0
B30G0838/003,36394,0,0,0
B30G0839/002,13036,0,0,0
B30G0839/003,10541,0,0,0
B30G0839/004,0,0,0,0
B30G1052/001,698,0,0,0
B30G1100/001,6823,0,0,0
B30G4690/001,8385,0,0,0
B30G4690/002,13039,0,4813,0
B30G4690/003,10542,0,3507,0
B30G4690/004,13039,0,4485,0
B30H0115/001,0,0,0,0
B30H0115/002,0,0,0,0
B30H0115/003,1970,0,0,0
B30H0125/001,28188,0,0,0
B30H0125/002,23841,0,0,0
B30H0125/003,3531,0,0,0
B30H0125/004,0,0,0,0
B30H0126/001,36687,0,0,37
B30H0126/002,16065,0,0,525
B30H0137/001,5649,0,0,0
B30H0137/002,13034,0,0,0
B30H0137/003,13037,0,0,0
B30H0137/004,0,0,0,0
B30H0137/005,0,0,0,0
B30H0172/001,33016,0,0,0
B30H0172/002,20483,0,0,0
B30H0261/001,0,0,0,0
B30H0265/001,19071,0,19071,0
B31A0109/001,35612,0,2511,0
B31A0109/002,33691,0,0,0
B31A0109/003,20285,0,0,0
B31A0109/004,3534,0,0,0
B31A0110/001,504,0,0,0
B31A0110/002,8056,0,8056,0
B31A0110/003,13028,0,4268,0
B31A0110/004,0,0,0,0
B31A0115/001,13029,0,0,0
B31A0115/002,0,0,0,0
B31A0123/001,36376,0,0,0
B31A0123/002,36376,0,0,0
B31A0123/003,20239,0,0,0
B31A0123/004,3363,0,0,0
B31A0123/005,3362,0,0,0
B31B0119/001,2472,0,0,0
B31B0119/002,36373,0,0,0
B31B0119/003,10488,0,0,0
B31B0119/004,6110,0,4136,2752
B31B0119/005,6111,0,0,0
B31C0190/001,24075,0,0,0
B31C0190/002,33978,0,0,0
B31C0190/003,18983,0,0,0
B31C0190/004,3544,0,0,0
B31C0190/005,3544,0,0,0
B31C0234/001,23836,0,0,0
B31C0234/002,19269,0,0,0
B31C0234/003,3529,0,0,0
B31C0249/001,5946,0,5946,3443
B31C0249/002,0,0,0,0
B31C0249/003,0,0,0,0
B31D0050/001,0,0,0,0
B31D0050/002,13011,0,0,0
B31D0060/001,10616,0,0,0
B31D0063/001,31302,0,0,0
B31D0077/001,0,0,0,0
B31D0077/002,0,0,0,0
B31D0077/003,0,0,0,0
B31D0123/001,10528,0,0,0
B31D0123/002,13014,0,0,0
B31D0123/003,0,0,0,0
B31D0123/004,0,0,0,0
B31D0123/005,0,0,0,0
B31D0124/001,26280,0,0,132
B31D0124/002,3531,0,0,0
B31D0124/003,18988,0,0,0
B31D0124/004,14832,0,0,0
B31D0124/005,3530,0,0,0
B31D0125/001,33964,0,0,0
B31D0125/002,12425,0,0,0
B31D0125/003,19297,0,0,0
B36H0091/001,0,0,0,0
B36H0091/002,0,0,0,0
B36H0091/003,0,0,0,0
B36H0091/004,0,0,0,0
B36H0091/005,0,0,0,0
B36H0092/001,11333,0,0,0
B36H0092/002,13055,0,0,0
B36H0092/003,13056,0,0,0
B36H0092/004,12138,0,0,0
B36H0092/005,12137,0,0,0
B36H0092/006,13057,0,0,0
B36H0093/001,5821,0,0,0
B36H0093/002,10847,0,0,0
B36H0093/003,6326,0,0,0
B36H0093/004,8352,0,0,0
B36H0093/005,2744,0,83,59
B36H0094/001,0,0,0,0
B36H0094/002,8353,0,0,0
B36H0094/003,10526,0,0,0
B36H0094/004,10703,0,0,0
B36H0094/005,0,0,0,0
B36H0120/002,0,0,0,0
B36H0120/003,7172,0,1480,216
B36H0120/004,0,0,0,0
B36H0120/005,13055,0,0,0
B36H0120/006,0,0,0,0
B36H0120/007,13054,0,0,0
B36H0121/001,13055,0,0,0
B36H0121/002,10385,0,0,0
B36H0121/003,13055,0,0,0
B36H0121/004,12512,0,127,43
B36H0121/005,13055,0,0,0
B36H0121/006,0,0,0,0
B36H0121/007,0,0,0,0
B36H0124/001,1